iter	Passed	Remaining
954	3373	158
955	3376	155
956	3379	151
957	3383	148
958	3386	144
959	3389	141
960	3393	137
961	3396	134
962	3400	130
963	3403	127
964	3406	123
965	3410	120
966	3413	116
967	3416	112
968	3427	109
969	3430	106
970	3434	102
971	3437	99
972	3441	95
973	3444	91
974	3448	88
975	3451	84
976	3454	81
977	3458	77
978	3461	74
979	3464	70
980	3468	67
981	3471	63
982	3475	60
983	3478	56
984	3482	53
985	3485	49
986	3489	45
987	3492	42
988	3496	38
989	3499	35
990	3503	31
991	3506	28
992	3510	24
993	3513	21
994	3517	17
995	3520	14
996	3523	10
997	3527	7
998	3530	3
999	3534	0
